ds,y
2024-01-01,51164022
2024-01-02,50420536
2024-01-03,46678530
2024-01-04,42870331
2024-01-05,56960961
2024-01-06,64600810
2024-01-07,59434067
2024-01-08,47264223
2024-01-09,47084350
2024-01-10,44194784
2024-01-11,49575422
2024-01-12,57946773
2024-01-13,61019252
2024-01-14,65352230
2024-01-15,47688647
2024-01-16,44419982
2024-01-17,52670215
2024-01-18,50323361
2024-01-19,61151097
2024-01-20,60794342
2024-01-21,65698193
2024-01-22,48076669
2024-01-23,49255961
2024-01-24,44910879
2024-01-25,49471833
2024-01-26,57255917
2024-01-27,67822663
2024-01-28,59963743
2024-01-29,52166841
2024-01-30,49761181
2024-01-31,50353737
2024-02-01,33954460
2024-02-02,39913820
2024-02-03,41002882
2024-02-04,40916264
2024-02-05,32540509
2024-02-06,31654529
2024-02-07,34195046
2024-02-08,31925369
2024-02-09,45326849
2024-02-10,42801010
2024-02-11,47482016
2024-02-12,30386991
2024-02-13,33845567
2024-02-14,35511086
2024-02-15,32126186
2024-02-16,43831599
2024-02-17,39576691
2024-02-18,42334153
2024-02-19,31277440
2024-02-20,35800953
2024-02-21,31139871
2024-02-22,38489463
2024-02-23,45595928
2024-02-24,40707757
2024-02-25,44769153
2024-02-26,32865054
2024-02-27,32082851
2024-02-28,35364527
2024-02-29,30309370
2024-03-01,42981508
2024-03-02,39434125
2024-03-03,45804545
2024-03-04,35194125
2024-03-05,35366412
2024-03-06,27774229
2024-03-07,32781182
2024-03-08,43635193
2024-03-09,44454683
2024-03-10,42852551
2024-03-11,35160284
2024-03-12,34839074
2024-03-13,32746010
2024-03-14,33376185
2024-03-15,47190376
2024-03-16,42927438
2024-03-17,45049070
2024-03-18,34550003
2024-03-19,36919058
2024-03-20,34541051
2024-03-21,34635040
2024-03-22,42719632
2024-03-23,44896305
2024-03-24,44389530
2024-03-25,32337227
2024-03-26,32722875
2024-03-27,30798521
2024-03-28,33769645
2024-03-29,44459875
2024-03-30,43351384
2024-03-31,46876873
2024-04-01,34691705
2024-04-02,33603253
2024-04-03,38738925
2024-04-04,37244345
2024-04-05,38296651
2024-04-06,44855601
2024-04-07,44278556
2024-04-08,34791203
2024-04-09,33405867
2024-04-10,31207566
2024-04-11,32663278
2024-04-12,45233599
2024-04-13,42841537
2024-04-14,49106719
2024-04-15,38983736
2024-04-16,35640568
2024-04-17,31450251
2024-04-18,36174417
2024-04-19,43275500
2024-04-20,42033295
2024-04-21,42638645
2024-04-22,33039647
2024-04-23,32219424
2024-04-24,31802274
2024-04-25,36503133
2024-04-26,45651925
2024-04-27,40698351
2024-04-28,45698441
2024-04-29,39687397
2024-04-30,31630026
2024-05-01,30600332
2024-05-02,38608622
2024-05-03,46588051
2024-05-04,40230020
2024-05-05,47291384
2024-05-06,31910972
2024-05-07,34112500
2024-05-08,33178414
2024-05-09,34975853
2024-05-10,41964536
2024-05-11,38991755
2024-05-12,44025895
2024-05-13,32714527
2024-05-14,33858197
2024-05-15,36366599
2024-05-16,30902999
2024-05-17,45132003
2024-05-18,47883162
2024-05-19,44005912
2024-05-20,37969761
2024-05-21,33219300
2024-05-22,32844349
2024-05-23,34699128
2024-05-24,45457515
2024-05-25,48308085
2024-05-26,44664408
2024-05-27,35132998
2024-05-28,36854292
2024-05-29,33383806
2024-05-30,37099774
2024-05-31,46441024
2024-06-01,44927049
2024-06-02,48513509
2024-06-03,36626800
2024-06-04,37411479
2024-06-05,35758830
2024-06-06,35265245
2024-06-07,41989701
2024-06-08,44392742
2024-06-09,45546645
2024-06-10,31428239
2024-06-11,38425415
2024-06-12,36840257
2024-06-13,35416602
2024-06-14,43608279
2024-06-15,45529925
2024-06-16,42355296
2024-06-17,32358984
2024-06-18,37305822
2024-06-19,35092918
2024-06-20,33763905
2024-06-21,48412988
2024-06-22,45416954
2024-06-23,46450657
2024-06-24,34000949
2024-06-25,33400023
2024-06-26,34245849
2024-06-27,35791408
2024-06-28,46061190
2024-06-29,43301501
2024-06-30,46726162
2024-07-01,33685790
2024-07-02,36146607
2024-07-03,39622826
2024-07-04,30987076
2024-07-05,46190494
2024-07-06,40958083
2024-07-07,46651375
2024-07-08,36137432
2024-07-09,38014989
2024-07-10,37969326
2024-07-11,37124322
2024-07-12,48719344
2024-07-13,45314320
2024-07-14,46434141
2024-07-15,39098091
2024-07-16,34866216
2024-07-17,34529367
2024-07-18,36635172
2024-07-19,47751245
2024-07-20,45520325
2024-07-21,47531609
2024-07-22,38706473
2024-07-23,38141257
2024-07-24,39192283
2024-07-25,38404398
2024-07-26,42934095
2024-07-27,44195362
2024-07-28,50175696
2024-07-29,35692338
2024-07-30,38901191
2024-07-31,33642164
2024-08-01,37780613
2024-08-02,45793353
2024-08-03,49596271
2024-08-04,46236208
2024-08-05,38583114
2024-08-06,34670799
2024-08-07,36567420
2024-08-08,39837655
2024-08-09,51668828
2024-08-10,51680453
2024-08-11,53733185
2024-08-12,37284466
2024-08-13,37552107
2024-08-14,35710616
2024-08-15,39437851
2024-08-16,50139330
2024-08-17,48473286
2024-08-18,48015950
2024-08-19,36525202
2024-08-20,39553467
2024-08-21,32455067
2024-08-22,35730937
2024-08-23,47206899
2024-08-24,47061481
2024-08-25,47906803
2024-08-26,36900324
2024-08-27,38750961
2024-08-28,39822337
2024-08-29,38484641
2024-08-30,45576468
2024-08-31,46430165
2024-09-01,42045788
2024-09-02,37332539
2024-09-03,38174450
2024-09-04,35520427
2024-09-05,34487070
2024-09-06,52124868
2024-09-07,51662333
2024-09-08,52020546
2024-09-09,39879511
2024-09-10,41855641
