page_name,post_id,post_content,reactions_count,post_date
ShopThoiTrangABC,post_001,Flash Sale cuối tuần! Giảm 40% toàn bộ áo thu đông. Chỉ còn 48 giờ. Đặt ngay tại link bio hoặc inbox để được tư vấn miễn phí.,312,2025-10-05 08:00:00
ShopThoiTrangABC,post_002,Bộ sưu tập áo len mới về hàng! Chất liệu len Hàn Quốc cao cấp mềm mịn không xù lông. Size S đến XL. Giá chỉ 350.000đ.,198,2025-10-12 09:30:00
ShopThoiTrangABC,post_003,Cảm ơn 10.000 followers đã đồng hành! Minigame tri ân: Like + Share + Tag 2 bạn để nhận voucher 200k. Kết quả 20/10.,445,2025-10-15 10:00:00
ShopThoiTrangABC,post_004,Review của khách hàng Nguyễn Thị M. sau khi mua đầm dự tiệc: Vải đẹp đúng như mô tả đóng gói cẩn thận giao hàng nhanh. Shop tư vấn nhiệt tình.,267,2025-10-18 11:00:00
ShopThoiTrangABC,post_005,Shopee 10.10 siêu sale! Toàn bộ sản phẩm giảm thêm 15% khi mua trên Shopee. Freeship cho đơn từ 150k. Nhanh tay kẻo hết!,523,2025-10-10 07:00:00
ShopThoiTrangABC,post_006,Mẫu áo khoác bomber hot nhất mùa đông 2025 đã về kho! Unisex phù hợp cả nam và nữ. Màu đen và xanh navy. Giá 450.000đ.,189,2025-10-22 14:00:00
ShopThoiTrangABC,post_007,Hướng dẫn phối đồ mùa đông: áo len cổ lọ + quần jeans ống rộng + boots da. Đơn giản nhưng cực kỳ trendy.,342,2025-10-25 16:00:00
ShopThoiTrangABC,post_008,Thông báo: Shop sẽ mở thêm chi nhánh tại Hà Nội vào tháng 11/2025. Địa chỉ sẽ được thông báo sớm. Hãy theo dõi page để cập nhật!,278,2025-10-28 09:00:00
ShopThoiTrangABC,post_009,Black Friday sắp đến rồi! Đăng ký nhận thông báo sớm để được ưu tiên mua hàng với giá sốc. Comment SĐT bên dưới nhé.,401,2025-10-30 20:00:00
ShopThoiTrangABC,post_010,Chia sẻ tips giữ áo len luôn như mới: giặt tay bằng nước lạnh phơi ngang tránh ánh nắng trực tiếp. Bảo quản tốt dùng được nhiều năm.,156,2025-11-02 10:00:00
ShopThoiTrangABC,post_011,Hàng mới về: đầm midi hoa nhí phong cách vintage. Vải cotton thoáng mát phù hợp đi làm và dạo phố. Giá 320.000đ chỉ còn 15 chiếc.,234,2025-11-05 08:30:00
ShopThoiTrangABC,post_012,Livestream bán hàng tối nay 20h! Hàng trăm sản phẩm giảm đến 50% chỉ trong buổi live. Set nhắc nhở ngay!,567,2025-11-08 15:00:00
ShopMyPhamNaturals,post_013,Ra mắt serum vitamin C mới! Công thức nâng cấp giúp da sáng mịn sau 2 tuần sử dụng. Da nhạy cảm dùng được. Tặng kèm toner mini.,389,2025-10-08 09:00:00
ShopMyPhamNaturals,post_014,Review thật từ khách hàng Trần Thị L.: Dùng kem dưỡng ẩm được 1 tháng da mình thay đổi hẳn ít bong tróc hơn và căng bóng hơn rõ rệt.,445,2025-10-14 10:30:00
ShopMyPhamNaturals,post_015,Tẩy trang đúng cách quan trọng hơn bạn nghĩ! Bước 1 dùng dầu tẩy trang. Bước 2 rửa mặt với sữa rửa mặt. Đừng bỏ qua bước nào nhé!,312,2025-10-20 11:00:00
ShopMyPhamNaturals,post_016,Combo skincare cho da dầu mụn giảm 30% cuối tháng! Sữa rửa mặt + toner + kem dưỡng chỉ 450.000đ. Inbox để tư vấn loại da miễn phí.,298,2025-10-26 14:00:00
ShopMyPhamNaturals,post_017,Câu hỏi thường gặp: SPF bao nhiêu là đủ? Thường ngày trong nhà dùng SPF 30. Ra ngoài dùng SPF 50+. Thoa lại sau mỗi 2 tiếng.,421,2025-11-01 09:00:00
ShopMyPhamNaturals,post_018,11.11 siêu sale! Mua 2 tặng 1 toàn bộ dòng dưỡng thể. Freeship toàn quốc cho đơn từ 200k. Chỉ diễn ra trong 24 giờ!,634,2025-11-11 00:00:00
ShopDienTuTechZone,post_019,Tai nghe True Wireless mới về! Pin 8h liên tục chống nước IPX5 kết nối Bluetooth 5.3. Giá chỉ 890.000đ bao gồm case sạc.,456,2025-10-06 10:00:00
ShopDienTuTechZone,post_020,So sánh 3 mẫu chuột gaming hot nhất 2025. Logitech G502X vs Razer DeathAdder V3 vs SteelSeries Aerox 5. Video chi tiết tại story.,287,2025-10-13 14:00:00
ShopDienTuTechZone,post_021,Bàn phím cơ giảm 25% dịp 10.10! Switch Cherry MX Red phù hợp gaming và gõ văn bản. Có thể test tại cửa hàng trước khi mua.,378,2025-10-10 08:00:00
ShopDienTuTechZone,post_022,Hỏi đáp: Laptop gaming tầm 20 triệu nên chọn gì? RTX 4060 là lựa chọn tốt nhất ở phân khúc này. Comment model bạn đang cân nhắc!,512,2025-10-19 20:00:00
ShopDienTuTechZone,post_023,Màn hình 144Hz giảm còn 4.500.000đ! 24 inch Full HD IPS giảm độ trễ tối đa cho game FPS. Bảo hành 24 tháng chính hãng.,334,2025-10-23 09:30:00
ShopDienTuTechZone,post_024,Tips tăng tuổi thọ pin laptop: Không để pin dưới 20% thường xuyên. Tránh cắm sạc liên tục 100%. Nhiệt độ phòng lý tưởng 20-25 độ.,267,2025-10-29 11:00:00
ShopDienTuTechZone,post_025,SSD Samsung 1TB giá sốc cuối tháng! Tốc độ đọc 560 MB/s phù hợp nâng cấp laptop và PC. Bảo hành 5 năm. Số lượng có hạn!,489,2025-10-31 07:00:00
