date,channel,net_revenue,gross_revenue,order_count,item_quantity,gross_profit,discount_amount
2024-01-01,Shopee,17801376,18735967,68,136,3640189,505066
2024-01-01,Lazada,10620809,11870560,41,123,2004082,481285
2024-01-01,TikTok Shop,14225939,15070526,65,65,3279584,307169
2024-01-01,Website,8515898,9551448,27,81,1996928,282953
2024-01-02,Shopee,16338152,18477519,47,47,4180618,483275
2024-01-02,Lazada,10503119,11385644,24,24,2116708,691207
2024-01-02,TikTok Shop,15711287,16642566,61,61,3392034,638465
2024-01-02,Website,7867978,8896424,23,69,1777711,216287
2024-01-03,Shopee,15873357,16792107,39,78,4173748,906546
2024-01-03,Lazada,11517537,12758381,29,87,2153267,687318
2024-01-03,TikTok Shop,12481529,14335312,35,35,3328179,534304
2024-01-03,Website,6806107,7579065,15,30,1335803,281203
2024-01-04,Shopee,17320211,19401789,50,150,4240049,979421
2024-01-04,Lazada,8335990,9198047,28,28,1636690,356508
2024-01-04,TikTok Shop,10487357,11242043,21,42,2771653,698038
2024-01-04,Website,6726773,7615919,21,42,1480674,161250
2024-01-05,Shopee,19233536,21880778,38,76,3870993,960790
2024-01-05,Lazada,14605868,15544837,33,33,2989277,784073
2024-01-05,TikTok Shop,15328422,17239898,45,90,4135337,673899
2024-01-05,Website,7793135,8960021,24,24,1799845,198371
2024-01-06,Shopee,25761426,29267821,114,114,6253447,1739534
2024-01-06,Lazada,13702298,15204631,32,64,2989320,1092995
2024-01-06,TikTok Shop,17353114,18657051,36,108,4617281,359016
2024-01-06,Website,7783972,8703812,29,87,1985596,514644
2024-01-07,Shopee,20489832,21742892,54,108,4012232,413786
2024-01-07,Lazada,14280233,16382124,42,42,3295423,376779
2024-01-07,TikTok Shop,14845336,16837089,41,123,3576197,433044
2024-01-07,Website,9818666,10839198,34,102,2669198,549224
2024-01-08,Shopee,15657315,16470676,34,68,4194159,1094445
2024-01-08,Lazada,10467561,11241587,28,28,2803223,804086
2024-01-08,TikTok Shop,12300477,13815782,50,50,3417053,639162
2024-01-08,Website,8838870,9394297,33,66,2427904,264350
2024-01-09,Shopee,16856654,19170116,35,70,4659791,1276635
2024-01-09,Lazada,9476353,10625786,31,62,2648782,559035
2024-01-09,TikTok Shop,14575426,16615423,33,66,2799945,488012
2024-01-09,Website,6175917,6497703,16,48,1253782,205121
2024-01-10,Shopee,17317938,19409669,73,73,3513709,1287159
2024-01-10,Lazada,8306732,8780927,22,22,1726535,408067
2024-01-10,TikTok Shop,11158569,11864139,23,69,2651512,385861
2024-01-10,Website,7411545,8380602,16,16,1403988,441276
2024-01-11,Shopee,18403053,20102720,47,94,4902273,427876
2024-01-11,Lazada,11090981,11712756,44,132,2372697,795227
2024-01-11,TikTok Shop,13098168,14004025,39,117,2945272,593516
2024-01-11,Website,6983220,7655445,20,20,1566428,500564
2024-01-12,Shopee,18088600,19170133,37,111,5063510,1269126
2024-01-12,Lazada,12915394,14757603,51,51,2539568,634643
2024-01-12,TikTok Shop,16322906,18550412,52,52,3206859,328569
2024-01-12,Website,10619873,11432509,26,52,2214508,656260
2024-01-13,Shopee,22911109,25573085,46,92,4478656,866096
2024-01-13,Lazada,11152652,12356224,48,144,2075461,432905
2024-01-13,TikTok Shop,17961059,19908357,79,237,4884307,931596
2024-01-13,Website,8994432,10308319,39,39,2384732,216867
2024-01-14,Shopee,20228958,22606291,85,85,4458008,1547430
2024-01-14,Lazada,15193000,16326725,30,90,2795120,378594
2024-01-14,TikTok Shop,19439709,21427969,39,78,3896222,1224148
2024-01-14,Website,10490563,11293735,32,32,2592942,398640
2024-01-15,Shopee,15240334,17418205,41,41,2757457,872807
